name,team,number,position,height_cm,birth_year,player_type,draft_year,draft_type,draft_round,draft_overall
강상재,원주 DB,26,F,200,,국내,2016,신인드래프트,1,3
강재민,서울 SK,0,F,195,,국내,2024,신인드래프트,2,9
강현수,울산 현대모비스,30,G,180,,국내,2024,신인드래프트,3,5
고찬혁,수원 KT,6,G,184,,국내,2022,신인드래프트,1,9
곽정훈,대구 한국가스공사,37,F,187,,국내,2020,신인드래프트,2,3
권순우,대구 한국가스공사,17,G,187,,국내,2024,신인드래프트,2,7
김건우,서울 SK,31,C,200,,국내,2023,신인드래프트,2,2
김경원,안양 정관장,17,C,198,,국내,2019,신인드래프트,1,2
김국찬,대구 한국가스공사,30,F,190,,국내,2017,신인드래프트,1,5
김근현,울산 현대모비스,18,G,193,,국내,2023,신인드래프트,2,7
김낙현,서울 SK,4,G,184,,국내,2017,신인드래프트,1,6
김도은,고양 소노,8,G,183,,국내,2024,신인드래프트,4,9
김동준,울산 현대모비스,5,G,175,,국내,2021,신인드래프트,2,7
김동현,부산 KCC,5,G,190,,국내,2021,신인드래프트,1,9
김보배,원주 DB,10,F,202,,국내,2024,신인드래프트,1,3
김선형,수원 KT,5,G,187,,국내,2011,신인드래프트,1,2
김세창,안양 정관장,2,G,183,,국내,2019,신인드래프트,1,8
김영현,안양 정관장,12,G,186,,국내,2013,신인드래프트,1,10
김영훈,고양 소노,24,F,190,,국내,2014,신인드래프트,2,6
김재현,수원 KT,8,G,188,,국내,2024,신인드래프트,3,9
김종규,안양 정관장,15,C,207,,국내,2013,신인드래프트,1,1
김종호,창원 LG,0,G,186,,국내,2021,신인드래프트,2,6
김준일,대구 한국가스공사,31,C,202,,국내,2014,신인드래프트,1,2
김준형,안양 정관장,35,F,201,,국내,2018,신인드래프트,1,4
김진유,고양 소노,55,G,189,,국내,2016,신인드래프트,1,10
김태훈,서울 SK,9,G,189,,국내,2024,신인드래프트,1,6
김한솔,서울 삼성,71,C,198,,국내,2018,신인드래프트,1,7
김형빈,서울 SK,23,F,201,,국내,2019,신인드래프트,1,5
김훈,부산 KCC,12,F,193,,국내,2019,신인드래프트,2,5
나성호,창원 LG,8,F,189,,국내,2023,신인드래프트,1,10
두경민,창원 LG,30,G,184,,국내,2013,신인드래프트,1,3
문가온,서울 SK,37,G,187,,국내,2022,신인드래프트,1,10
문성곤,수원 KT,10,F,196,,국내,2015,신인드래프트,1,1
문시윤,고양 소노,20,F,197,,국내,2021,신인드래프트,2,8
문정현,수원 KT,12,F,194,,국내,2023,신인드래프트,1,1
미구엘 안드레 옥존,울산 현대모비스,8,G,182,,아시아쿼터,,,,
박무빈,울산 현대모비스,3,G,184,,국내,2023,신인드래프트,1,2
박민우,서울 삼성,30,F,196,,국내,2020,신인드래프트,3,1
박민채,서울 삼성,17,G,183,,국내,2022,신인드래프트,2,5
박봉진,원주 DB,21,F,193,,국내,2015,신인드래프트,3,10
박상우,원주 DB,11,F,191,,국내,2023,신인드래프트,2,9
박성재,수원 KT,27,G,182,,국내,2024,신인드래프트,2,2
박승재,서울 삼성,3,G,178,,국내,2023,신인드래프트,1,7
박인웅,원주 DB,23,F,190,,국내,2022,신인드래프트,1,3
박인태,창원 LG,20,C,200,,국내,2016,신인드래프트,1,5
박정웅,안양 정관장,4,G,193,,국내,2024,신인드래프트,1,1
박정현,창원 LG,31,C,202,,국내,2019,신인드래프트,1,1
박종하,고양 소노,3,G,184,,국내,2023,신인드래프트,1,8
박준영,수원 KT,23,F,195,,국내,2018,신인드래프트,1,1
박준은,울산 현대모비스,20,F,194,,국내,2019,신인드래프트,1,10
박준형,울산 현대모비스,25,F,190,,국내,2024,신인드래프트,2,6
박지원,수원 KT,9,G,191,,국내,2020,신인드래프트,1,2
박지훈,안양 정관장,6,G,182,,국내,2016,신인드래프트,1,6
박지훈,대구 한국가스공사,8,F,193,,국내,2012,신인드래프트,1,9
박진철,고양 소노,15,C,200,,국내,2020,신인드래프트,1,7
박찬호,안양 정관장,13,C,202,,국내,2019,신인드래프트,2,2
배병준,창원 LG,23,G,189,,국내,2012,신인드래프트,2,5
백승엽,원주 DB,4,G,180,,국내,2024,신인드래프트,2,3
변준형,안양 정관장,5,G,185,,국내,2018,신인드래프트,1,2
샘조세프 벨란겔,대구 한국가스공사,0,G,175,,아시아쿼터,,,,
서동원,고양 소노,31,F,192,,국내,2024,신인드래프트,2,5
서명진,울산 현대모비스,7,G,188,,국내,2018,신인드래프트,1,3
서민수,원주 DB,35,F,196,,국내,2015,신인드래프트,1,9
선상혁,서울 SK,11,C,205,,국내,2021,신인드래프트,1,6
소준혁,안양 정관장,20,G,185,,국내,2024,신인드래프트,2,10
손준,대구 한국가스공사,24,F,199,,국내,2024,신인드래프트,1,4
송교창,부산 KCC,9,F,199,,국내,2015,신인드래프트,1,3
신승민,대구 한국가스공사,2,F,195,,국내,2021,신인드래프트,1,8
신주영,대구 한국가스공사,1,F,200,,국내,2023,신인드래프트,1,5
아셈 마레이,창원 LG,50,C,204,,외국,,,,
안영준,서울 SK,8,F,195,,국내,2017,신인드래프트,1,4
알빈 톨렌티노,서울 SK,,F,,,아시아쿼터,,,,
양재혁,대구 한국가스공사,11,F,191,,국내,2019,신인드래프트,1,9
양준석,창원 LG,5,G,180,,국내,2022,신인드래프트,1,1
여준형,부산 KCC,21,F,198,,국내,2022,신인드래프트,2,7
오세근,서울 SK,41,F,200,,국내,2011,신인드래프트,1,1
오재현,서울 SK,22,G,187,,국내,2020,신인드래프트,2,1
우동현,대구 한국가스공사,5,G,176,,국내,2018,신인드래프트,1,10
유기상,창원 LG,1,G,188,,국내,2023,신인드래프트,1,3
윤성원,서울 삼성,27,F,196,,국내,2017,신인드래프트,2,4
